variable,ic_name,hub_name,period,flow
xijt,ic_1,hub_8,t_24,0.0
xijt,ic_1,hub_8,t_25,0.0
xijt,ic_1,hub_8,t_26,0.0
xijt,ic_1,hub_8,t_27,0.0
xijt,ic_1,hub_8,t_28,0.0
xijt,ic_1,hub_8,t_29,0.0
xijt,ic_1,hub_8,t_30,0.0
xijt,ic_1,hub_8,t_31,0.0
xijt,ic_1,hub_8,t_32,0.0
xijt,ic_1,hub_8,t_33,0.0
xijt,ic_1,hub_8,t_34,0.0
xijt,ic_1,hub_8,t_35,0.0
xijt,ic_1,hub_8,t_36,0.0
xijt,ic_1,hub_8,t_37,0.0
xijt,ic_1,hub_8,t_38,0.0
xijt,ic_1,hub_8,t_39,0.0
xijt,ic_1,hub_8,t_40,0.0
xijt,ic_1,hub_8,t_41,0.0
xijt,ic_1,hub_8,t_42,0.0
xijt,ic_1,hub_8,t_43,0.0
xijt,ic_1,hub_8,t_44,0.0
xijt,ic_1,hub_8,t_45,0.0
xijt,ic_1,hub_8,t_46,0.0
xijt,ic_1,hub_8,t_47,0.0
xijt,ic_1,hub_8,t_48,0.0
xijt,ic_1,hub_9,t_1,0.0
xijt,ic_1,hub_9,t_2,0.0
xijt,ic_1,hub_9,t_3,0.0
xijt,ic_1,hub_9,t_4,0.0
xijt,ic_1,hub_9,t_5,0.0
xijt,ic_1,hub_9,t_6,0.0
xijt,ic_1,hub_9,t_7,0.0
xijt,ic_1,hub_9,t_8,0.0
xijt,ic_1,hub_9,t_9,0.0
xijt,ic_1,hub_9,t_10,0.0
xijt,ic_1,hub_9,t_11,0.0
xijt,ic_1,hub_9,t_12,0.0
xijt,ic_1,hub_9,t_13,0.0
xijt,ic_1,hub_9,t_14,0.0
xijt,ic_1,hub_9,t_15,0.0
xijt,ic_1,hub_9,t_16,0.0
xijt,ic_1,hub_9,t_17,0.0
xijt,ic_1,hub_9,t_18,0.0
xijt,ic_1,hub_9,t_19,0.0
xijt,ic_1,hub_9,t_20,0.0
xijt,ic_1,hub_9,t_21,0.0
xijt,ic_1,hub_9,t_22,0.0
xijt,ic_1,hub_9,t_23,0.0
xijt,ic_1,hub_9,t_24,0.0
xijt,ic_1,hub_9,t_25,0.0
xijt,ic_1,hub_9,t_26,0.0
xijt,ic_1,hub_9,t_27,0.0
xijt,ic_1,hub_9,t_28,0.0
xijt,ic_1,hub_9,t_29,0.0
xijt,ic_1,hub_9,t_30,0.0
xijt,ic_1,hub_9,t_31,0.0
xijt,ic_1,hub_9,t_32,0.0
xijt,ic_1,hub_9,t_33,0.0
xijt,ic_1,hub_9,t_34,0.0
xijt,ic_1,hub_9,t_35,0.0
xijt,ic_1,hub_9,t_36,0.0
xijt,ic_1,hub_9,t_37,0.0
xijt,ic_1,hub_9,t_38,0.0
xijt,ic_1,hub_9,t_39,0.0
xijt,ic_1,hub_9,t_40,0.0
xijt,ic_1,hub_9,t_41,0.0
xijt,ic_1,hub_9,t_42,0.0
xijt,ic_1,hub_9,t_43,0.0
xijt,ic_1,hub_9,t_44,0.0
xijt,ic_1,hub_9,t_45,0.0
xijt,ic_1,hub_9,t_46,0.0
xijt,ic_1,hub_9,t_47,0.0
xijt,ic_1,hub_9,t_48,0.0
xijt,ic_1,hub_10,t_1,0.0
xijt,ic_1,hub_10,t_2,0.0
xijt,ic_1,hub_10,t_3,0.0
xijt,ic_1,hub_10,t_4,0.0
xijt,ic_1,hub_10,t_5,0.0
xijt,ic_1,hub_10,t_6,0.0
xijt,ic_1,hub_10,t_7,0.0
xijt,ic_1,hub_10,t_8,0.0
xijt,ic_1,hub_10,t_9,0.0
xijt,ic_1,hub_10,t_10,0.0
xijt,ic_1,hub_10,t_11,0.0
xijt,ic_1,hub_10,t_12,0.0
xijt,ic_1,hub_10,t_13,0.0
xijt,ic_1,hub_10,t_14,0.0
xijt,ic_1,hub_10,t_15,0.0
xijt,ic_1,hub_10,t_16,0.0
xijt,ic_1,hub_10,t_17,0.0
xijt,ic_1,hub_10,t_18,0.0
xijt,ic_1,hub_10,t_19,0.0
