ic_name,period,flow,numberoflines,lineefficiency,periodproduction,finalinventory
ic_6,t_5,523.0,14.0,35,490.0,262.0
ic_6,t_6,532.0,14.5,35,507.5,237.5
ic_6,t_7,517.0,14.0,35,490.0,210.5
ic_6,t_8,503.0,13.5,35,472.5,180.0
ic_6,t_9,489.0,13.0,35,455.0,146.0
ic_6,t_10,486.0,12.5,35,437.5,97.5
ic_6,t_11,474.0,13.0,35,455.0,78.5
ic_6,t_12,489.0,13.5,35,472.5,62.0
ic_6,t_13,477.0,14.0,35,490.0,75.0
ic_6,t_14,493.0,14.5,35,507.5,89.5
ic_6,t_15,519.0,15.0,35,525.0,95.5
ic_6,t_16,573.0,15.5,35,542.5,65.0
ic_6,t_17,550.0,15.5,35,542.5,57.5
ic_6,t_18,523.0,15.0,35,525.0,59.5
ic_6,t_19,550.0,15.5,35,542.5,52.0
ic_6,t_20,523.0,15.0,35,525.0,54.0
ic_6,t_21,550.0,15.5,35,542.5,46.5
ic_6,t_22,523.0,15.0,35,525.0,48.5
ic_6,t_23,550.0,15.5,35,542.5,41.0
ic_6,t_24,523.0,15.0,35,525.0,43.0
ic_6,t_25,520.0,15.5,35,542.5,65.5
ic_6,t_26,517.0,16.0,35,560.0,108.5
ic_6,t_27,514.0,16.5,35,577.5,172.0
ic_6,t_28,511.0,16.5,35,577.5,238.5
ic_6,t_29,511.0,16.5,35,577.5,305.0
ic_6,t_30,511.0,16.0,35,560.0,354.0
ic_6,t_31,508.0,15.5,35,542.5,388.5
ic_6,t_32,511.0,15.0,35,525.0,402.5
ic_6,t_33,512.0,14.5,35,507.5,398.0
ic_6,t_34,512.0,15.0,35,525.0,411.0
ic_6,t_35,512.0,14.5,35,507.5,406.5
ic_6,t_36,512.0,14.5,35,507.5,402.0
ic_6,t_37,506.0,14.5,35,507.5,403.5
ic_6,t_38,515.0,15.0,35,525.0,413.5
ic_6,t_39,509.0,14.5,35,507.5,412.0
ic_6,t_40,508.0,14.5,35,507.5,411.5
ic_6,t_41,512.0,15.0,35,525.0,424.5
ic_6,t_42,506.0,14.5,35,507.5,426.0
ic_6,t_43,515.0,15.0,35,525.0,436.0
ic_6,t_44,509.0,14.5,35,507.5,434.5
ic_6,t_45,508.0,14.5,35,507.5,434.0
ic_6,t_46,512.0,15.0,35,525.0,447.0
ic_6,t_47,506.0,14.5,35,507.5,448.5
ic_6,t_48,515.0,15.0,35,525.0,458.5
ic_7,t_1,145.0,6.0,43,258.0,488.0
ic_7,t_2,153.0,6.2,43,266.6,601.6
ic_7,t_3,161.0,6.0,43,258.0,698.6
ic_7,t_4,170.0,5.8,43,249.4,778.0
ic_7,t_5,179.0,5.6,43,240.79999999999998,839.8
ic_7,t_6,188.0,5.4,43,232.20000000000002,884.0
ic_7,t_7,183.0,5.2,43,223.6,924.6
ic_7,t_8,178.0,5.0,43,215.0,961.6
ic_7,t_9,173.0,4.8,43,206.4,995.0
ic_7,t_10,168.0,4.6,43,197.79999999999998,1024.8
ic_7,t_11,163.0,4.4,43,189.20000000000002,1051.0
ic_7,t_12,159.0,4.2,43,180.6,1072.6
ic_7,t_13,164.0,4.0,43,172.0,1080.6
ic_7,t_14,148.0,4.2,43,180.6,1113.2
ic_7,t_15,156.0,4.4,43,189.20000000000002,1146.4
ic_7,t_16,172.0,4.6,43,197.79999999999998,1172.2
ic_7,t_17,190.0,4.4,43,189.20000000000002,1171.4
ic_7,t_18,181.0,4.2,43,180.6,1171.0
ic_7,t_19,172.0,4.0,43,172.0,1171.0
ic_7,t_20,181.0,3.8,43,163.4,1153.4
ic_7,t_21,172.0,3.6,43,154.8,1136.2
ic_7,t_22,181.0,3.4,43,146.2,1101.4
ic_7,t_23,172.0,3.2,43,137.6,1067.0
ic_7,t_24,181.0,3.0,43,129.0,1015.0
ic_7,t_25,180.0,2.8,43,120.39999999999999,955.4
ic_7,t_26,179.0,2.6,43,111.8,888.2
ic_7,t_27,178.0,2.4,43,103.2,813.4
ic_7,t_28,177.0,2.4,43,103.2,739.6
ic_7,t_29,176.0,2.6,43,111.8,675.4
ic_7,t_30,175.0,2.8,43,120.39999999999999,620.8
ic_7,t_31,174.0,3.0,43,129.0,575.8
ic_7,t_32,173.0,3.2,43,137.6,540.4
ic_7,t_33,173.0,3.4,43,146.2,513.6
ic_7,t_34,173.0,3.6,43,154.8,495.4
ic_7,t_35,173.0,3.8,43,163.4,485.8
ic_7,t_36,173.0,4.0,43,172.0,484.8
ic_7,t_37,171.0,4.2,43,180.6,494.4
ic_7,t_38,169.0,4.4,43,189.20000000000002,514.6
ic_7,t_39,172.0,4.4,43,189.20000000000002,531.8
ic_7,t_40,170.0,4.2,43,180.6,542.4
ic_7,t_41,168.0,4.2,43,180.6,555.0
ic_7,t_42,171.0,4.0,43,172.0,556.0
ic_7,t_43,169.0,4.2,43,180.6,567.6
ic_7,t_44,172.0,4.2,43,180.6,576.2
ic_7,t_45,170.0,4.0,43,172.0,578.2
ic_7,t_46,168.0,4.0,43,172.0,582.2
ic_7,t_47,171.0,3.8,43,163.4,574.6
ic_7,t_48,169.0,4.0,43,172.0,577.6
ic_8,t_1,180.0,6.0,40,240.0,360.0
ic_8,t_2,171.0,6.0,40,240.0,429.0
ic_8,t_3,180.0,6.0,40,240.0,489.0
ic_8,t_4,171.0,6.0,40,240.0,558.0
ic_8,t_5,180.0,5.75,40,230.0,608.0
ic_8,t_6,171.0,5.5,40,220.0,657.0
ic_8,t_7,166.0,5.25,40,210.0,701.0
